"PRCP","SNOW","SNWD","TMAX","TMIN"
0.31,0,0,71,51
0.08,0,0,73,50
0,0,0,79,45
0,0,0,84,54
0,0,0,91,54
0.07,0,0,83,70
0.76,0,0,71,51
0,0,0,83,50
0,0,0,83,61
0.05,0,0,75,55
0,0,0,79,51
0,0,0,83,59
0.13,0,0,75,60
0,0,0,82,57
0.01,0,0,71,47
0,0,0,82,40
0.02,0,0,85,65
0,0,0,83,58
0,0,0,77,54
0,0,0,92,62
0.78,0,0,74,51
0,0,0,66,46
0.77,0,0,68,50
0.05,0,0,78,48
0.23,0,0,72,54
0,0,0,75,45
0,0,0,75,53
0,0,0,80,56
0,0,0,80,60
0,0,0,76,54
0,0,0,80,50
0.34,0,0,74,63
0,0,0,80,57
0,0,0,72,56
0,0,0,78,50
0,0,0,82,50
0,0,0,93,60
0,0,0,84,68
0.3,0,0,88,67
0,0,0,74,61
0,0,0,72,50
0,0,0,85,50
0.01,0,0,92,54
0,0,0,86,62
0.85,0,0,90,70
0,0,0,95,64
0.45,0,0,86,68
0,0,0,85,66
0,0,0,78,55
0.12,0,0,79,53
0.01,0,0,74,52
0.01,0,0,85,52
0,0,0,80,57
0,0,0,70,55
0,0,0,70,56
0,0,0,75,52
0,0,0,79,51
0,0,0,79,49
0,0,0,83,50
0,0,0,87,52
0,0,0,88,62
0,0,0,84,62
0,0,0,87,60
0,0,0,91,57
0.46,0,0,94,59
0.43,0,0,85,69
2.61,0,0,90,67
0.01,0,0,88,70
0.58,0,0,85,67
0.02,0,0,83,66
0,0,0,82,63
0,0,0,85,60
0.52,0,0,90,68
0.36,0,0,80,59
0,0,0,83,60
0,0,0,87,55
0.49,0,0,90,64
0,0,0,88,67
0.01,0,0,88,68
0,0,0,78,60
0,0,0,86,57
0,0,0,92,62
0.06,0,0,85,65
0,0,0,81,61
0,0,0,88,58
0,0,0,89,59
0,0,0,82,58
0,0,0,86,57
0,0,0,91,68
0.2,0,0,82,67
0,0,0,88,69
0,0,0,80,59
0,0,0,87,56
0.06,0,0,82,67
0,0,0,81,60
0,0,0,80,56
0,0,0,80,54
0,0,0,83,54
0,0,0,85,56
0,0,0,83,54
0,0,0,85,57
0,0,0,87,55
0,0,0,89,57
0,0,0,90,59
0.32,0,0,92,66
0.07,0,0,70,56
0.01,0,0,65,48
0.02,0,0,74,51
0.53,0,0,70,56
0.01,0,0,69,56
0.2,0,0,73,53
0.02,0,0,66,51
0.01,0,0,62,48
0,0,0,79,42
0.01,0,0,86,61
0,0,0,96,65
0,0,0,98,68
0.02,0,0,71,43
0,0,0,67,34
0,0,0,76,37
0,0,0,68,50
0,0,0,63,36
0,0,0,75,36
0,0,0,77,53
0,0,0,65,52
0.09,0,0,85,55
0.08,0,0,59,39
0.36,0,0,60,42
0,0,0,69,47
0.06,0,0,80,52
0.23,0,0,71,45
0.1,0,0,75,44
0.16,0,0,63,42
0.1,0,0,47,40
0.12,0,0,50,40
0,0,0,62,42
0,0,0,76,41
0,0,0,58,46
0,0,0,58,37
0,0,0,60,36
0,0,0,63,32
0,0,0,53,34
0,0,0,58,30
0,0,0,74,48
0.03,0,0,67,50
0.47,0,0,87,53
0.3,0,0,70,48
0.1,0,0,56,47
0.02,0,0,56,40
0.62,0,0,77,36
0.12,0,0,79,55
0,0,0,82,53
0,0,0,81,59
0,0,0,74,55
0,0,0,79,58
0.37,0,0,70,61
0.32,0,0,73,58
0.02,0,0,66,54
0,0,0,68,54
0.03,0,0,65,54
0,0,0,75,54
0.23,0,0,65,49
0.71,0,0,75,49
0,0,0,75,54
0,0,0,85,53
0,0,0,90,63
0,0,0,89,61
0,0,0,71,53
0,0,0,86,49
0.93,0,0,85,64
0.13,0,0,77,63
0,0,0,79,62
0.27,0,0,75,62
0.01,0,0,81,64
0.07,0,0,79,54
0,0,0,74,48
0.06,0,0,82,57
0,0,0,70,52
0,0,0,83,50
0.49,0,0,82,68
0.12,0,0,76,48
0,0,0,60,45
0,0,0,63,43
0,0,0,67,42
0,0,0,73,41
0.79,0,0,72,56
0,0,0,74,55
0,0,0,66,55
0,0,0,67,53
0.16,0,0,72,50
0.24,0,0,67,55
0.3,0,0,73,54
0,0,0,70,50
0,0,0,70,46
0.2,0,0,67,46
0.03,0,0,72,52
0,0,0,73,50
0,0,0,80,46
0,0,0,84,50
0,0,0,85,61
0,0,0,81,60
0,0,0,86,56
0.77,0,0,71,52
0.12,0,0,70,51
0,0,0,74,46
0,0,0,79,46
0.03,0,0,83,64
0.1,0,0,75,54
0,0,0,78,51
0,0,0,87,56
0,0,0,89,62
0.28,0,0,80,69
0.03,0,0,83,68
0,0,0,89,67
0.01,0,0,87,64
0,0,0,89,67
0.22,0,0,89,71
0,0,0,93,74
0,0,0,88,70
0,0,0,90,67
0.43,0,0,95,65
0,0,0,89,70
0,0,0,79,61
0,0,0,74,54
0,0,0,82,50
0,0,0,84,59
0,0,0,86,69
0.02,0,0,88,71
0,0,0,81,65
0,0,0,82,59
0,0,0,85,54
0,0,0,86,52
0,0,0,89,56
0,0,0,90,61
0,0,0,86,59
0.15,0,0,84,68
0,0,0,84,55
0,0,0,87,49
0,0,0,85,61
0,0,0,87,68
0,0,0,87,70
0.11,0,0,76,59
0,0,0,69,54
0,0,0,70,45
0,0,0,78,44
0,0,0,69,48
0,0,0,62,41
0,0,0,69,38
0,0,0,73,46
0,0,0,74,40
0.27,0,0,60,56
0,0,0,78,55
0,0,0,85,65
0.14,0,0,75,67
0,0,0,81,63
0,0,0,77,58
0,0,0,75,59
0,0,0,79,57
0,0,0,72,50
0,0,0,73,42
0,0,0,70,41
0.75,0,0,67,41
0,0,0,66,57
0.04,0,0,69,50
0.01,0,0,62,44
0.06,0,0,64,46
0,0,0,68,48
0,0,0,75,45
0,0,0,68,54
0,0,0,72,53
0,0,0,74,52
0,0,0,80,49
0,0,0,75,51
0,0,0,85,52
0.08,0,0,79,65
0,0,0,74,57
0,0,0,76,53
0.75,0,0,71,49
0.22,0,0,51,41
0,0,0,56,35
0,0,0,66,39
0,0,0,71,41
0,0,0,69,40
0,0,0,64,36
0,0,0,67,33
0,0,0,72,38
0.11,0,0,70,45
0,0,0,65,37
0,0,0,74,35
0,0,0,75,60
0.23,0,0,80,55
0,0,0,64,43
0.03,0,0,61,41
0,0,0,59,36
0,0,0,70,32
0,0,0,73,56
0,0,0,68,44
0,0,0,69,38
0.71,0,0,66,36
0,0,0,49,27
0,0,0,58,29
0.29,0,0,46,31
0,0,0,36,24
0.08,0,0,45,20
0.2,0.3,0,40,28
0,0,0,48,25
0.02,0,0,75,42
0,0,0,60,40
0.01,0,0,51,39
0,0,0,47,38
0,0,0,43,28
0,0,0,42,22
0.07,0,0,50,18
0.13,0,0,45,38
0.01,0,0,44,41
0.14,0,0,53,35
0.12,0,0,56,40
0.03,0,0,52,41
0,0,0,71,35
0.28,0,0,69,52
0.31,0,0,52,33
0.26,1,0,34,32
0.05,0.3,0,36,31
0,0.1,0,41,26
0,0,0,50,28
0,0,0,64,48
0.3,0,0,65,37
0,0,0,45,30
0.14,0,0,41,36
0.38,1.5,0,36,32
0.1,0.5,0,36,28
0.08,0.3,0,39,27
0,0,0,36,33
0,0,0,46,32
0.04,0,0,52,43
0,0,0,56,37
0.05,0,0,63,43
0,0,0,43,38
0.01,0,0,43,37
0.03,0.4,0,38,15
0.31,0.1,1,29,14
0.09,0.4,3,37,22
0.19,3.5,5,28,20
0.03,0.3,5,34,23
0.38,0.9,2,35,27
0.05,1.8,3,42,17
0.08,0.6,3,27,5
0.1,2.1,5,20,0
0.01,0.6,5,26,-3
0.02,0.2,4,31,16
0,0,4,33,2
0.31,0,1,44,28
0.01,0.1,0,38,26
0,0,0,30,20
0,0,0,46,28
0,0,0,34,27
0.88,1.5,0,37,29
0.01,0,0,42,12
0,0,0,29,13
0,0,0,34,12
0.6,0,0,47,25
0.04,0.8,1,42,13
0,0,5,32,12
0,0,0,41,23
0,0,0,45,39
0.01,0,0,42,34
0.01,0,0,37,32
0,0,0,34,20
0,0,0,51,18
0,0,0,61,24
0.18,0,0,42,28
0.01,0,0,43,37
0.88,0,0,45,39
0.45,0,0,47,41
0.1,0,0,43,32
0.03,0.9,0,35,30
0,0,0,32,23
0.2,0.6,0,36,21
0,0.1,0,38,31
0.07,0.8,1,39,18
0.11,1.6,2,28,17
0,0.2,2,23,19
0,0,2,28,16
0,0,2,32,15
0.1,1.5,3,28,17
0.02,0.2,3,32,24
0,0,2,33,15
0.03,0.2,2,34,14
0.03,0.8,3,27,-2
0,0.1,3,14,-1
0,0,3,17,10
0.08,0,2,27,14
0.4,0,1,44,27
0.04,0,0,47,29
0.08,1.2,1,29,11
0.04,2.2,3,16,11
0.01,0.1,2,30,11
0.03,0,0,44,20
0.03,0.1,0,42,16
0.57,6.7,7,20,10
0,0.7,7,27,20
0,0,5,26,17
0.17,0.2,7,20,13
0.05,0.9,7,26,20
0.07,0.8,8,28,3
0.1,2.2,9,32,1
0.02,0.5,7,32,10
0,0,7,36,17
0.04,0.2,6,37,16
0,0.1,6,24,18
0,0,6,23,17
0,0,5,28,3
0,0,4,41,2
0.94,0,0,42,26
0.15,5.2,6,28,22
0,0,6,26,3
0,0,6,26,-7
0,0,4,37,0
0,0,2,38,8
0,0,9,43,18
0.22,0,0,43,34
0.04,0.7,1,34,21
0,0,1,23,13
0.09,0.5,1,25,11
0.1,3.7,5,24,15
0.09,1,6,22,17
0.05,0.6,6,27,17
0.07,0.9,6,31,22
0.05,0.4,6,35,26
0.01,0.5,6,29,21
0,0,4,27,9
0.11,0.1,3,37,12
0.02,1.8,3,21,6
0,0,3,22,0
0,0,3,17,4
0.03,0.9,4,23,15
0,0,3,38,17
0.15,0,0,45,25
0.05,0.6,1,25,10
0.02,0.3,1,30,10
0.05,0.7,1,30,13
0,0,1,31,7
0.41,0.4,1,31,21
0.25,8.2,8,30,22
0,0,4,37,13
0.91,9.3,13,27,13
0.01,1.3,10,30,12
0,0,6,33,0
0,0,5,38,20
0,0,2,43,24
0,0,0,43,39
0.15,1,1,40,8
0.67,8.1,9,19,2
0,0.2,8,25,16
0,0,1,26,15
0,0,5,33,16
0,0,3,34,20
0,0,1,43,17
0.02,0,0,48,29
0.05,0.4,0,36,31
0,0,0,39,28
0,0,0,44,28
0,0,0,43,26
0.08,0.6,1,32,24
0,0.4,0,31,19
0,0,0,44,22
0.09,0.4,0,42,29
0,0,0,40,26
0,0,0,48,26
0,0,0,55,24
1.13,0,0,40,36
0.2,0,0,54,34
0,0,0,50,28
0,0,0,56,27
0,0,0,61,28
0,0,0,65,30
0,0,0,65,31
0,0,0,70,32
0.01,0,0,74,50
0.15,0,0,73,58
0,0,0,81,54
0.06,0,0,65,50
0.09,0,0,71,49
0.02,0,0,71,40
0.2,0,0,86,59
0.02,0,0,90,55
0,0,0,59,38
0,0,0,48,29
0,0,0,64,24
0,0,0,52,33
0,0,0,58,28
0,0,0,63,36
0,0,0,66,40
0,0,0,74,43
0,0,0,79,42
0,0,0,80,56
0,0,0,66,48
0,0,0,56,36
0,0,0,60,30
0.04,0,0,60,42
0.44,0,0,59,40
0,0,0,82,37
0.33,0,0,82,59
0.07,0,0,74,55
0.01,0,0,62,48
0.03,0,0,57,42
0,0,0,58,35
0,0,0,58,36
0,0,0,66,30
0,0,0,70,34
0,0,0,78,34
0,0,0,78,55
0.1,0,0,63,48
0,0,0,61,37
0.01,0,0,63,42
0,0,0,83,46
0,0,0,90,52
0.14,0,0,82,66
0,0,0,75,48
0.02,0,0,63,46
0,0,0,71,44
0,0,0,81,57
0.09,0,0,77,62
1.52,0,0,87,63
0.1,0,0,69,48
0,0,0,69,41
0,0,0,75,39
0.05,0,0,62,55
0,0,0,78,48
0,0,0,83,48
0.04,0,0,71,57
0.01,0,0,74,51
0,0,0,79,46
0,0,0,86,50
0,0,0,83,50
0,0,0,66,47
0,0,0,68,48
0,0,0,72,44
0.34,0,0,76,44
0.01,0,0,69,56
0.66,0,0,79,60
0.13,0,0,77,57
0.29,0,0,75,58
0,0,0,79,56
0,0,0,83,57
0,0,0,88,63
0,0,0,89,67
0,0,0,91,64
0.03,0,0,93,69
0.12,0,0,81,63
0,0,0,83,58
0,0,0,76,49
0,0,0,93,59
0,0,0,95,75
0.72,0,0,97,72
0.01,0,0,83,68
0.25,0,0,89,65
0,0,0,92,72
0,0,0,85,64
0,0,0,76,55
0,0,0,79,60
0,0,0,86,53
0,0,0,85,62
1.43,0,0,87,66
0,0,0,78,63
0,0,0,78,62
0,0,0,90,58
1.1,0,0,88,66
0,0,0,81,65
0,0,0,81,58
0,0,0,83,54
0,0,0,85,62
0.87,0,0,90,67
0,0,0,75,56
0,0,0,85,51
0.58,0,0,77,60
0,0,0,76,55
0,0,0,79,55
0,0,0,83,61
0,0,0,88,66
0,0,0,93,62
0,0,0,95,70
0,0,0,86,64
0,0,0,95,61
0.63,0,0,88,67
0,0,0,84,63
0.8,0,0,77,68
0,0,0,86,70
0,0,0,85,66
0,0,0,82,64
0,0,0,82,61
0,0,0,84,61
0,0,0,83,60
0,0,0,79,58
0,0,0,83,52
0,0,0,90,54
0,0,0,86,68
0,0,0,73,53
0.02,0,0,80,46
0.12,0,0,72,53
0,0,0,66,48
0,0,0,74,51
0.15,0,0,71,60
0.35,0,0,74,58
0,0,0,70,50
0,0,0,75,48
0.02,0,0,82,60
0,0,0,73,51
0,0,0,81,44
0.76,0,0,84,64
0.05,0,0,75,53
0,0,0,83,48
0.27,0,0,75,66
0,0,0,79,62
0,0,0,68,53
0,0,0,70,44
0,0,0,80,46
0,0,0,91,56
1.07,0,0,81,69
0,0,0,80,55
0,0,0,68,43
0,0,0,81,39
0.03,0,0,84,60
0.59,0,0,90,70
0,0,0,85,67
0,0,0,70,52
0,0,0,68,50
0.68,0,0,94,56
0.77,0,0,90,63
0.07,0,0,63,48
0,0,0,66,42
0,0,0,74,44
0,0,0,81,52
0,0,0,89,65
0,0,0,89,72
0,0,0,78,59
0,0,0,73,49
0,0,0,70,41
0,0,0,76,42
0,0,0,83,48
0,0,0,85,43
0,0,0,73,49
0,0,0,76,41
0.01,0,0,81,54
0,0,0,65,48
0,0,0,69,39
0.1,0,0,84,53
0.01,0,0,53,33
0.02,0,0,66,32
0,0,0,68,47
0,0,0,70,45
0.86,0,0,69,56
0.16,0,0,74,60
0.19,0,0,85,60
0,0,0,73,58
0.13,0,0,85,58
0,0,0,66,52
0,0,0,60,49
0.17,0,0,58,47
0.03,0,0,52,43
0,0,0,63,44
0,0,0,71,48
0.16,0,0,64,51
0,0,0,66,42
0.01,0,0,52,39
0,0,0,63,31
0.48,0,0,57,45
0.14,0,0,59,37
0,0,0,63,31
0.02,0,0,62,42
0,0,0,62,44
0.61,0,0,58,43
0.12,0,0,52,35
0.06,0,0,42,36
0,0,0,57,27
0.4,0,0,63,52
0.04,0,0,52,33
0,0,0,43,27
0,0,0,50,32
0.05,0,0,51,44
0.41,0,0,61,43
0,0,0,50,45
0,0,0,54,45
0,0,0,56,39
0,0,0,59,34
0.58,0,0,56,44
0.33,0,0,57,42
0,0,0,47,38
0,0,0,47,32
0,0,0,41,35
0,0,0,41,34
0.05,0,0,38,33
0,0,0,49,37
0,0,0,53,45
0,0,0,62,37
0.05,0,0,52,27
0,0,0,42,20
0,0,0,71,30
0,0,0,73,56
0.23,0,0,66,44
0,0,0,46,34
0,0,0,45,32
0.17,0,0,46,35
0.1,0.5,0,38,29
0,0,0,45,27
0,0,0,47,34
0,0,0,47,29
0,0,0,45,26
0,0,0,63,27
0.01,0,0,46,24
0,0,0,42,20
0.07,0,0,48,40
0,0,0,59,35
0,0,0,68,32
0,0,0,66,48
0.04,0.3,0,57,23
0.01,0.7,0,24,14
0.11,0.2,0,38,16
0.15,0.4,0,37,31
0.22,1.8,1,34,20
0.08,3.5,4,23,2
0,1.5,2,20,-1
0.89,6.5,6,31,19
0.08,0.4,5,34,28
0.11,1.6,6,33,26
0,0,3,41,30
0,0,1,39,29
0,0,0,46,27
0,0,0,44,34
0.01,0.1,0,43,7
0,0,0,20,3
0,0,0,32,9
0.01,0,0,50,28
0.81,0,0,54,37
0.1,0,0,37,29
0.07,0.3,0,39,24
0.06,0,0,41,29
0.11,0.5,1,29,25
0.03,1.2,2,26,17
0,0,1,29,2
0,0,0,36,15
0.07,0,0,44,29
0.23,0.1,0,50,28
0.01,0.1,0,30,20
0.38,4.1,4,30,25
0,0,3,24,4
0,0,2,17,4
0.02,0.3,2,18,-1
0,0,1,12,-8
0,0,1,18,6
0.01,0.2,1,18,-4
0,0,1,23,8
0.03,0.1,0,34,16
0,0,0,31,8
0.01,0,0,40,10
0.13,1,1,31,19
0.01,1.7,3,26,9
0,0,1,41,-4
0.08,0,0,49,38
0.13,0,0,40,33
0.09,0.5,0,35,30
0,0,0,33,26
0.01,0.1,0,33,24
0,0,0,50,30
0,0,0,38,31
0,0,0,35,26
0.09,1.2,1,32,29
0,0,0,36,30
0,0,0,32,10
0.29,0,0,44,28
0.4,1.7,2,36,15
0.07,2.1,3,15,-3
0,0.1,2,12,-13
0,0,2,27,1
0.22,2,4,30,21
0,0,2,35,30
1,4,5,34,28
0.1,2.2,7,29,12
0,0,6,17,-1
0,0,6,24,-4
0.02,0.4,5,25,7
0,0,5,18,-3
0,0,5,23,7
0.11,1.5,6,30,20
0.01,0.1,5,41,16
0.33,0,3,41,14
0.04,0,1,47,30
0,0,0,32,26
0.04,0.6,1,26,7
0.17,1.8,3,15,7
0.38,7.7,10,16,9
0.15,2.9,10,27,16
0.09,1.1,9,26,15
0,0,7,30,16
0.11,0.9,7,27,20
0.18,2.5,9,28,20
0.13,1.5,10,29,21
0,0.1,6,41,28
0,0,4,39,32
0,0,2,41,31
1.03,8.4,8,34,30
0.1,1.2,6,38,24
0.08,0.1,4,46,26
0.01,0.2,2,40,28
0,0,1,50,23
0,0,0,61,44
0.07,0.2,0,58,27
0,0,0,37,26
0.2,0,0,48,27
0.01,0.1,0,44,30
0.04,0,0,41,28
0.49,0.4,0,35,32
0.05,0.2,0,36,32
0.7,0,0,48,31
0.4,0,0,59,39
0,0,0,43,36
0,0,0,40,32
0,0,0,45,28
0.35,0,0,55,29
0.21,1.2,9,42,28
0.25,1.9,2,34,27
0.01,0.3,0,39,29
0,0,0,45,30
0,0,0,51,26
0,0,0,58,28
0,0,0,48,31
0.04,0,0,47,27
0.19,0.3,0,41,32
0.29,0.3,0,45,31
0.21,0.7,0,49,32
0,0,0,61,39
0.08,0,0,58,38
0.01,0,0,56,41
0.08,0,0,64,41
0.1,0,0,80,38
0.53,0,0,49,35
0.02,0,0,46,32
0,0,0,44,32
0.78,6.7,7,37,30
0.17,0.3,3,36,32
0.01,0,0,42,31
0,0,0,48,31
0,0,0,61,30
0.21,0,0,74,50
0,0,0,66,48
0,0,0,72,44
0.04,0,0,44,37
0.05,0,0,43,36
0.04,0,0,45,35
0,0,0,51,38
0,0,0,65,36
0,0,0,75,37
0,0,0,78,42
0,0,0,78,53
0,0,0,80,49
0,0,0,78,43
0,0,0,80,54
0.1,0,0,76,54
